value,learning_rate,max_leaf_nodes,min_samples_leaf,l2_regularization,max_bins,max_features
0.9481766181393914,0.05,63,40,1.0,255,1.0
0.9470728608612412,0.03,127,80,3.0,255,0.8
0.9491125844670266,0.08,31,20,0.3,127,0.9
0.9422437719965324,0.0425378509573798,222,89,0.24810409748678125,93,0.5779972601681014
0.9462681741208074,0.0224831270535195,174,59,0.679657809075816,66,0.9849549260809971
0.9490879685461783,0.10702082748695269,27,17,0.00541524411940254,121,0.762378215816119
0.9496742777716974,0.047753845433560704,33,61,0.003613894271216527,119,0.6831809216468459
0.9450603760940882,0.050132478040090245,138,17,0.11400863701127326,177,0.5232252063599989
0.9496828803851014,0.0680250643581967,24,12,6.245139574743075,249,0.9041986740582306
0.9496292193718184,0.03694755509074355,19,77,0.057624872164786026,86,0.7475884550556351
0.945274712423914,0.13927080312670906,72,183,5.494747759980004,201,0.650282411524673
0.9489545378943198,0.07024694904622442,41,33,0.001129033764164709,195,0.8736970936526043
0.9496577934821198,0.0661480559750746,17,11,0.018756206282287354,145,0.6794448719457363
0.948895667694796,0.08082065698515843,44,170,0.00127488889333956,225,0.8674737589504783
0.9495928969633232,0.05641835447927763,25,10,9.639757903159508,161,0.6416527930716341
0.9497414221235337,0.10228218067004453,15,33,0.009251661446922315,225,0.9200975908113194
0.9495686294008174,0.10326713160604131,15,32,0.024304242350555075,226,0.9310155819932572
0.9493351713345678,0.14018730550318317,20,25,1.9761323834850537,228,0.8170020293120076
0.9491503974674558,0.10584815931122206,22,15,0.010358820180665322,209,0.9441795585513835
0.9497843603029708,0.09123457505895573,15,123,0.0596390952211814,236,0.8400780793811267
0.9497913772235793,0.09072982180720308,16,115,0.058388194424356145,181,0.8219106892035167
0.9495318628934909,0.09024550234553612,15,137,0.0531986011232406,173,0.8286877144045116
0.9494900239484084,0.12243201892590218,15,127,0.0486166296394924,186,0.7507285077111833
0.9498359264658506,0.0913303194427137,20,114,0.1338932374394629,213,0.837609109491516
0.9498194128153831,0.07810298726149534,20,113,0.1617830764572358,209,0.8539077388830179
